,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
ABT,16.84,74.60B,20.71,2.41,3.65,3.42,16.60,22.04%,14.96%,N/A,N/A,20.50B,13.62,12.20%,11.03B,4.52B,2.98,67.90%,9.85B,6.62,8.90B,40.49,N/A,14.69,N/A,N/A,1.24,19.17%,51.74,39.28,50.06,47.78,"4,988,730","4,412,460",1.49B,0.20%,68.80%,14.71M,2.90,1.90%,0.94
ABBV,53.36,109.32B,13.67,0.94,5.26,80.14,15.61,9.93%,32.03%,N/A,N/A,20.99B,13.10,11.10%,15.53B,7.42B,1.29,24.40%,7.92B,4.97,15.33B,"1,113.44",N/A,0.86,N/A,N/A,1.56,28.72%,71.60,52.06,69.45,64.00,"9,494,670","7,190,080",1.59B,0.08%,39.90%,53.31M,6.10,3.00%,1.93
ANF,114.07,1.36B,20.02,1.49,0.38,1.05,3.93,0.34%,3.53%,3.25%,0.86%,3.63B,51.47,-13.70%,2.31B,348.98M,0.17,N/A,383.22M,5.51,342.12M,26.17,2.39,18.80,258.84M,158.46M,1.49,-52.79%,45.50,19.05,21.28,22.44,"2,559,490","1,965,740",69.57M,2.14%,108.80%,23.27M,9.40,3.90%,0.80
ABMD,36.11,4.02B,88.59,7.12,16.86,13.32,87.07,49.36%,13.15%,6.96%,49.44%,230.31M,5.67,41.50%,190.37M,33.05M,2.65,"2,629.80%",131.96M,3.21,0.00,N/A,5.60,7.08,43.29M,-4.86M,0.78,272.73%,97.72,21.84,72.46,64.88,"704,745","1,302,840",42.05M,9.60%,106.70%,3.62M,7.00,N/A,N/A
ABM,22.80,1.86B,17.03,2.60,0.36,1.87,11.32,1.62%,2.49%,3.67%,8.58%,5.13B,90.96,3.20%,5.03B,185.20M,1.45,20.40%,30.40M,0.54,307.20M,30.71,1.86,17.73,122.00M,75.04M,1.13,29.63%,33.84,24.97,32.76,31.73,"233,877","222,562",56.42M,9.59%,86.50%,1.03M,3.80,2.00%,0.64
AXAS,3.15,184.14M,13.46,-4.61,1.44,0.88,2.95,45.58%,46.83%,12.30%,37.50%,126.92M,1.25,-26.90%,107.90M,107.70M,0.56,N/A,3.87M,0.04,118.40M,57.04,0.90,1.99,66.67M,-111.46M,1.34,-68.75%,6.11,1.52,2.40,3.02,"1,197,720","1,290,380",105.22M,6.62%,35.80%,6.13M,6.20,N/A,N/A
ACTG,N/A,273.44M,9.73,0.64,3.12,0.95,17.53,-31.85%,-22.06%,-3.67%,-8.41%,142.77M,2.91,-19.50%,130.88M,17.53M,-0.93,N/A,156.17M,3.16,0.00,N/A,6.65,9.53,-1.62M,-27.75M,1.60,-48.90%,19.93,7.88,8.90,10.72,"447,214","360,338",30.90M,2.73%,108.00%,7.64M,16.30,5.30%,0.50
ACHC,56.83,5.86B,30.63,1.88,4.71,4.33,30.02,7.24%,17.31%,5.15%,9.71%,1.17B,20.10,81.60%,956.18M,242.73M,1.44,11.80%,38.03M,0.57,2.05B,164.35,1.41,19.12,126.16M,-29.88M,1.19,69.81%,85.62,46.87,79.29,71.03,"716,158","659,862",71.61M,24.47%,70.90%,3.72M,3.60,N/A,N/A
ACAD,N/A,3.93B,N/A,-1.31,"48,175.08",15.88,-39.74,N/A,"-123,217.02%",-21.43%,-35.36%,94.00K,0.00,-86.70%,120.00K,-115.54M,-1.16,N/A,297.89M,2.97,0.00,N/A,18.01,2.84,-77.60M,-35.72M,2.59,82.81%,51.99,21.02,45.40,38.78,"1,084,800","1,519,560",100.30M,25.84%,66.90%,13.68M,13.10,N/A,N/A
AKR,30.67,2.20B,19.81,2.24,10.25,2.03,25.63,30.98%,37.06%,1.89%,13.24%,213.10M,3.41,18.80%,134.51M,130.69M,1.04,-23.40%,119.56M,1.74,1.31B,91.02,1.61,15.62,86.96M,74.24M,0.39,12.09%,36.82,27.07,31.02,32.73,"360,172","346,462",68.83M,11.15%,91.70%,2.36M,5.50,3.10%,1.25
AXDX,N/A,1.03B,N/A,N/A,"8,386.00",17.40,-34.83,N/A,"-28,954.92%",-42.15%,-70.94%,122.00K,0.00,N/A,122.00K,-34.26M,-0.78,N/A,58.45M,1.31,124.00K,0.21,17.04,1.32,-22.08M,-12.60M,0.27,33.66%,31.29,16.31,26.11,23.19,"156,088","221,312",44.66M,45.76%,21.10%,4.03M,31.20,N/A,N/A
XLRN,N/A,923.33M,N/A,N/A,57.81,6.23,-16.82,N/A,-338.62%,-16.72%,-34.77%,15.74M,0.49,33.70%,14.63M,-52.17M,-1.77,N/A,101.14M,3.08,0.00,N/A,11.02,4.45,-54.57M,-28.08M,N/A,-5.92%,48.50,23.61,30.37,34.48,"166,578","143,238",32.81M,77.37%,24.90%,1.60M,8.70,N/A,N/A
ANCX,12.62,202.91M,14.50,1.75,3.32,1.96,N/A,25.97%,41.53%,1.48%,15.95%,61.64M,5.89,19.70%,N/A,N/A,1.53,30.00%,91.50M,8.70,148.08M,N/A,N/A,9.94,N/A,N/A,1.13,18.63%,23.29,15.97,20.20,19.44,"62,980","38,163",10.52M,37.44%,20.90%,241.40K,2.10,2.90%,0.93
ACCO,9.36,836.44M,9.63,1.03,0.53,1.51,6.55,5.67%,10.95%,5.19%,14.48%,1.65B,14.57,-12.00%,529.90M,229.50M,0.81,N/A,90.80M,0.83,819.70M,140.58,1.97,5.26,173.60M,174.55M,0.74,11.75%,9.45,6.48,7.65,7.81,"593,652","932,375",109.91M,1.12%,99.70%,7.17M,12.60,N/A,N/A
AH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAY,N/A,504.73M,N/A,-0.37,1.31,6.51,-67.75,-11.69%,-5.88%,-2.93%,-51.56%,380.05M,4.89,0.40%,142.80M,-8.48M,-0.57,N/A,149.63M,1.89,200.99M,262.79,2.10,0.97,-13.09M,-15.71M,-0.04,-16.58%,10.01,5.84,6.74,7.56,"1,131,980","581,112",78.99M,2.21%,107.90%,13.69M,14.40,N/A,N/A
