,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
LNC,9.93,14.11B,8.35,1.05,1.04,0.88,7.36,10.92%,15.63%,0.53%,9.67%,13.61B,52.53,4.10%,4.80B,2.13B,5.62,-8.80%,5.56B,21.99,6.59B,40.60,5.24,64.14,2.56B,2.14B,1.71,9.16%,62.08,45.25,58.36,57.60,"1,746,660","1,985,160",253.02M,0.32%,88.10%,4.39M,2.60,1.40%,0.76
LLTC,19.77,10.04B,19.68,2.39,6.92,6.47,11.73,35.32%,46.28%,24.11%,35.81%,1.48B,6.04,3.80%,1.05B,736.80M,2.12,2.30%,1.20B,4.91,0.00,N/A,8.66,6.44,598.92M,428.05M,1.23,-5.22%,49.57,37.56,43.09,45.92,"2,286,380","2,910,520",239.47M,0.92%,95.80%,11.97M,6.00,3.00%,1.14
LMT,18.57,64.93B,16.62,2.23,1.43,21.79,11.00,7.93%,11.78%,8.67%,98.59%,45.40B,144.28,3.00%,5.26B,6.15B,11.26,4.50%,3.20B,10.31,8.40B,281.76,1.21,9.60,3.01B,2.04B,0.57,25.84%,210.75,165.26,198.02,196.21,"1,191,950","1,330,610",310.54M,0.10%,86.10%,3.60M,3.30,3.00%,5.83
L,22.40,14.09B,12.52,1.83,1.00,0.73,5.09,4.54%,17.89%,1.97%,3.98%,14.11B,37.29,-5.70%,8.73B,3.42B,1.69,84.70%,7.17B,19.32,10.55B,42.83,0.54,51.98,2.62B,849.00M,1.06,-9.99%,43.89,36.71,38.47,40.21,"1,314,230","1,930,360",371.38M,21.29%,17.70%,2.84M,2.20,0.70%,0.25
LOW,24.81,64.85B,17.65,1.21,1.14,6.93,11.05,4.82%,8.75%,9.07%,26.21%,56.95B,58.61,5.40%,19.56B,6.56B,2.80,7.90%,1.53B,1.64,11.36B,119.87,0.99,10.01,5.41B,4.66B,1.10,39.45%,76.25,49.41,68.22,71.11,"5,200,840","4,228,910",932.69M,0.17%,77.60%,15.70M,2.80,1.70%,0.97
LYB,10.01,40.96B,8.20,1.36,1.00,5.73,6.87,10.30%,14.00%,14.40%,45.48%,42.66B,85.02,-26.50%,6.67B,6.97B,8.69,23.40%,3.11B,6.57,8.27B,110.14,2.30,15.73,6.72B,4.37B,0.68,-19.66%,115.40,70.06,97.42,94.29,"3,352,820","4,021,950",470.83M,17.60%,77.50%,7.83M,2.40,3.50%,2.10
MTB,17.53,17.41B,14.26,1.45,3.98,1.53,N/A,24.55%,38.82%,1.15%,8.71%,4.40B,33.42,5.00%,N/A,N/A,7.46,0.80%,5.67B,42.63,10.33B,N/A,N/A,85.93,N/A,N/A,0.58,9.36%,134.00,111.78,128.87,123.82,"634,828","513,500",133.10M,8.24%,86.90%,11.09M,18.40,2.10%,2.80
MAC,8.23,12.72B,19.09,2.81,10.01,2.31,24.87,118.67%,25.53%,1.80%,34.02%,1.27B,8.34,23.70%,663.32M,760.14M,9.76,-10.50%,110.33M,0.70,6.74B,114.52,0.48,34.65,N/A,N/A,0.82,22.99%,95.93,62.62,77.67,82.81,"1,332,590","815,112",158.26M,0.64%,105.00%,3.58M,2.10,3.40%,2.57
M,15.88,22.51B,13.09,1.58,0.81,4.36,7.55,5.33%,10.14%,8.37%,26.44%,28.06B,80.42,-0.70%,11.24B,3.89B,4.21,-13.80%,1.51B,4.49,7.34B,140.89,1.52,15.48,2.59B,1.65B,0.88,11.28%,73.61,54.84,69.04,66.63,"5,114,850","3,783,440",336.41M,0.28%,90.30%,7.67M,1.60,2.10%,1.30
MNK,N/A,11.74B,12.24,0.67,3.58,2.22,17.77,-5.75%,14.93%,3.29%,-6.38%,3.22B,34.42,63.10%,1.20B,980.30M,-2.00,751.70%,1.05B,9.01,3.99B,76.91,2.86,44.38,597.70M,959.39M,0.80,44.39%,134.26,67.18,119.85,120.46,"1,240,230","3,042,900",116.98M,0.17%,84.60%,8.14M,6.40,N/A,N/A
MRO,7.67,12.42B,N/A,5.31,1.35,0.64,5.16,16.70%,3.84%,0.66%,1.46%,9.71B,14.37,-44.80%,8.60B,3.82B,2.40,N/A,1.13B,1.67,6.39B,30.95,0.83,30.61,4.33B,-2.79B,1.11,-52.95%,41.92,17.86,23.68,26.81,"7,817,890","12,526,000",674.95M,0.33%,83.80%,12.82M,1.70,3.90%,0.84
MPC,8.98,27.80B,10.42,0.93,0.33,2.50,5.52,3.79%,5.91%,10.56%,28.60%,84.85B,151.51,-29.40%,13.54B,6.38B,5.70,347.70%,2.08B,3.83,6.74B,56.29,1.32,20.84,3.53B,1.85B,1.29,17.51%,60.38,37.32,54.41,51.13,"4,945,000","6,619,290",543.20M,0.77%,82.30%,13.89M,2.70,1.80%,1.00
MAR,26.43,19.62B,18.88,1.05,6.88,N/A,17.59,27.82%,44.41%,11.68%,N/A,2.83B,9.93,14.80%,1.97B,1.38B,2.70,20.30%,120.00M,0.44,4.03B,N/A,0.60,-9.18,1.30B,183.82M,1.50,8.60%,85.00,59.61,75.13,78.66,"1,972,770","3,520,760",274.95M,24.02%,62.20%,13.02M,7.40,1.40%,0.85
MMC,21.10,31.13B,17.10,1.61,2.41,4.59,12.36,11.66%,18.32%,8.84%,20.29%,12.90B,23.77,-1.50%,12.95B,2.76B,2.74,8.80%,1.10B,2.06,3.89B,56.67,1.88,12.59,1.96B,1.38B,1.04,12.41%,59.99,48.66,57.91,57.27,"1,814,800","1,461,080",538.41M,0.14%,86.30%,4.44M,2.20,2.10%,1.15
MLM,57.75,11.31B,21.91,2.98,3.86,2.61,18.83,6.26%,13.61%,4.67%,6.24%,2.93B,47.18,66.40%,522.36M,646.48M,2.90,N/A,56.37M,0.84,1.58B,36.41,3.73,64.33,410.17M,-159.39M,1.41,33.00%,172.84,103.09,153.13,143.05,"856,222","970,788",67.48M,7.14%,79.10%,5.31M,7.90,1.00%,1.60
MAS,11.37,9.33B,18.63,1.28,1.06,11.78,10.02,9.87%,9.98%,7.46%,101.48%,8.57B,24.69,2.70%,2.39B,1.01B,2.36,-13.50%,1.78B,5.18,3.92B,409.18,1.89,2.25,694.00M,254.38M,1.54,39.61%,26.87,17.43,24.24,23.53,"4,274,130","5,949,400",347.60M,1.75%,85.80%,11.54M,3.20,1.50%,0.33
MA,30.00,111.48B,24.08,1.64,11.62,17.62,19.06,39.52%,54.27%,21.96%,58.35%,9.53B,8.25,2.70%,9.47B,5.51B,3.26,17.20%,5.80B,5.08,1.50B,23.60,1.74,5.51,3.75B,3.37B,1.31,29.27%,98.82,69.64,95.53,90.98,"3,806,800","4,534,560",1.12B,10.66%,78.50%,11.50M,3.20,0.70%,0.59
MAT,19.08,7.72B,15.01,4.15,1.29,2.99,10.18,6.96%,11.49%,6.77%,14.95%,5.93B,17.50,-7.00%,3.00B,949.46M,1.20,N/A,300.50M,0.89,2.10B,81.89,2.84,7.57,726.56M,552.71M,1.25,-36.11%,35.98,22.32,24.81,25.81,"4,230,720","4,470,400",338.34M,0.33%,96.50%,46.18M,12.30,6.50%,1.52
MKC,25.50,10.69B,22.17,2.75,2.51,6.22,16.73,10.01%,14.32%,8.66%,22.92%,4.25B,33.04,-0.90%,1.73B,690.50M,3.28,-0.20%,95.40M,0.75,1.43B,82.44,1.01,13.42,507.40M,334.31M,0.84,22.25%,83.69,65.16,80.80,77.14,"594,783","669,838",115.96M,0.24%,83.10%,7.22M,9.50,2.00%,1.57
MCD,23.02,94.82B,19.21,2.95,3.66,8.35,11.61,16.07%,28.57%,N/A,N/A,26.02B,26.99,-9.50%,10.46B,9.03B,4.30,-13.30%,1.63B,1.71,14.29B,125.33,N/A,11.90,N/A,N/A,0.69,5.76%,101.10,87.62,97.40,96.43,"5,522,940","4,946,980",958.52M,0.04%,65.30%,14.53M,2.80,3.50%,3.36
MHFI,N/A,27.57B,20.18,1.53,5.37,51.09,14.26,-1.17%,36.90%,20.64%,-7.19%,5.13B,18.86,6.40%,5.05B,2.03B,-0.22,22.20%,1.18B,4.30,1.16B,83.20,1.04,1.97,-371.00M,1.07B,1.69,27.98%,109.13,73.96,102.88,102.71,"1,191,680","1,170,040",273.70M,2.68%,84.10%,2.41M,1.90,1.30%,1.26
MCK,34.48,50.21B,14.85,1.15,0.28,6.33,13.91,0.82%,1.74%,3.69%,18.62%,179.04B,771.75,N/A,11.41B,4.10B,6.27,N/A,5.34B,23.07,9.84B,103.94,1.10,34.49,3.11B,3.56B,0.74,12.99%,243.61,178.28,227.88,227.76,"1,086,010","1,844,080",232.32M,0.29%,86.30%,2.14M,2.10,0.40%,0.96
MJN,25.05,17.87B,21.77,2.42,4.14,23.59,17.15,16.61%,22.47%,15.00%,109.74%,4.31B,21.31,-7.10%,2.71B,1.06B,3.52,-5.00%,1.48B,7.28,1.51B,188.85,2.13,3.73,945.90M,551.56M,1.29,-6.06%,105.45,83.50,89.43,96.66,"1,745,740","1,591,690",202.74M,0.22%,91.80%,3.84M,1.90,1.80%,1.58
WRK,17.26,16.36B,15.26,1.62,0.85,1.94,6.85,5.17%,9.77%,5.78%,11.87%,10.11B,71.21,2.60%,N/A,1.58B,3.63,32.60%,39.70M,0.28,2.75B,61.92,1.72,31.77,1.17B,645.45M,1.35,N/A,66.40,57.49,61.53,61.53,"1,528,730","1,978,280",261.53M,N/A,N/A,4.14M,1.50,2.20%,N/A
MDT,32.15,109.74B,15.98,2.68,5.45,2.07,19.86,13.29%,24.64%,4.29%,7.36%,20.13B,18.37,61.00%,12.67B,6.26B,2.41,N/A,19.49B,13.76,36.26B,68.11,3.36,37.44,4.90B,2.33B,1.46,24.83%,79.50,59.83,76.00,76.37,"5,115,550","4,009,550",1.42B,0.05%,55.60%,10.98M,2.00,2.00%,1.30
MRK,15.06,163.78B,15.26,2.39,3.99,3.46,12.05,26.98%,21.32%,5.09%,22.22%,41.40B,14.43,-8.20%,25.47B,14.68B,3.85,-44.10%,15.60B,5.52,30.25B,63.13,1.61,16.89,7.78B,14.10B,0.39,2.31%,63.62,52.49,58.15,58.70,"9,185,670","8,079,240",2.83B,0.04%,75.70%,29.47M,3.30,3.10%,1.79
MET,8.93,61.28B,8.79,1.23,0.83,0.84,8.21,9.57%,14.73%,0.76%,10.17%,74.60B,66.11,7.70%,34.21B,11.49B,6.15,62.50%,33.58B,30.10,65.21B,87.63,1.35,66.20,16.58B,1.53B,1.52,6.13%,58.23,46.10,56.40,52.76,"5,874,930","4,932,320",1.12B,16.65%,75.80%,16.09M,2.60,2.70%,1.45
KORS,10.24,8.72B,9.59,1.87,1.99,3.88,4.90,20.15%,28.77%,32.03%,43.54%,4.37B,21.57,17.80%,2.65B,1.40B,4.28,13.40%,978.92M,4.92,0.00,N/A,6.11,11.27,857.87M,377.84M,1.22,-45.19%,83.38,38.16,42.24,57.80,"5,940,300","6,468,020",198.91M,14.79%,76.90%,8.99M,2.10,N/A,N/A
MCHP,26.40,8.82B,15.07,1.30,4.07,4.27,11.39,17.19%,21.13%,6.41%,17.41%,2.15B,10.69,10.10%,1.23B,731.96M,1.65,-10.80%,1.96B,9.68,1.83B,88.64,7.53,10.12,721.18M,409.28M,1.04,-5.86%,52.44,36.92,45.09,47.85,"2,298,460","3,459,620",202.41M,2.61%,102.20%,20.04M,9.20,3.40%,1.43
MU,6.14,19.84B,7.44,0.46,1.20,1.62,3.69,21.27%,21.27%,9.80%,29.76%,16.82B,15.71,-3.20%,5.44B,6.09B,3.00,-39.10%,4.86B,4.52,7.60B,56.90,2.19,11.58,5.52B,2.17B,1.93,-40.01%,36.59,17.14,19.56,26.12,"31,680,300","32,171,800",1.08B,0.55%,96.80%,61.06M,1.50,N/A,N/A
MSFT,31.58,375.18B,15.27,2.42,4.00,4.67,9.02,13.03%,30.11%,10.10%,14.36%,93.58B,11.44,-5.10%,60.54B,34.13B,1.48,N/A,96.45B,12.02,35.38B,44.18,2.50,9.98,29.08B,20.47B,0.78,8.19%,50.05,40.12,45.77,44.70,"30,395,400","30,364,800",8.03B,7.91%,71.30%,58.36M,1.90,2.70%,1.21
MHK,4.09,14.90B,17.41,0.99,1.84,3.42,13.86,6.01%,10.97%,6.36%,10.87%,7.87B,107.98,3.80%,2.15B,1.20B,49.90,-72.40%,107.04M,1.46,2.41B,57.11,1.11,57.74,683.55M,292.87M,1.32,51.47%,207.39,120.37,195.42,184.04,"522,312","757,412",73.09M,20.78%,76.20%,1.84M,3.80,N/A,N/A
TAP,31.56,13.55B,18.16,6.07,3.40,1.89,20.60,10.71%,11.94%,2.12%,5.45%,4.03B,21.75,-14.20%,1.65B,774.50M,2.31,-50.40%,317.60M,1.71,3.28B,45.00,0.57,39.00,920.30M,295.23M,1.33,1.49%,79.18,66.17,71.16,74.05,"1,576,930","2,161,390",162.82M,18.97%,7.40%,4.34M,3.00,2.30%,1.97
MDLZ,33.27,75.00B,22.49,2.72,2.28,3.10,16.76,7.03%,12.16%,3.70%,8.38%,33.36B,19.90,-10.20%,12.60B,5.09B,1.39,98.80%,1.90B,1.17,18.81B,76.43,0.72,15.09,3.86B,1.95B,1.43,28.94%,48.58,31.83,42.47,38.78,"8,589,700","13,446,600",1.63B,0.18%,77.60%,14.88M,2.10,1.60%,0.60
MON,18.73,47.37B,15.67,1.57,3.13,5.74,11.93,17.37%,26.00%,10.90%,22.67%,15.28B,31.51,7.70%,8.57B,4.69B,5.41,33.00%,1.10B,2.35,8.98B,107.45,2.59,17.79,2.65B,1.68B,1.23,-12.28%,126.00,99.98,105.90,114.99,"3,180,340","2,071,280",467.84M,0.25%,86.50%,7.99M,2.10,1.90%,1.96
MNST,66.24,30.47B,37.39,2.18,9.65,16.79,29.12,15.35%,31.69%,27.52%,30.52%,2.56B,15.21,16.90%,1.34B,835.42M,2.25,-95.40%,1.01B,5.94,0.00,N/A,3.35,8.63,367.41M,473.19M,1.14,112.68%,155.83,69.00,141.84,133.76,"1,421,040","1,621,590",204.26M,16.72%,79.90%,2.35M,2.20,N/A,N/A
MCO,24.28,21.99B,20.96,1.81,6.35,N/A,14.73,27.13%,42.71%,18.97%,275.66%,3.48B,16.95,5.10%,2.40B,1.59B,4.52,-18.00%,2.05B,10.22,3.11B,N/A,2.72,-0.52,N/A,N/A,1.43,22.95%,113.87,85.50,110.49,104.52,"853,692","652,438",200.30M,5.47%,90.70%,4.74M,5.50,1.20%,1.24
MS,19.62,75.46B,11.22,0.77,2.10,1.15,N/A,11.74%,28.27%,N/A,N/A,36.32B,18.90,12.70%,34.28B,N/A,1.97,-4.80%,561.23B,286.93,285.05B,377.72,N/A,33.80,N/A,N/A,1.59,20.26%,41.04,31.35,39.27,37.46,"8,311,060","7,105,390",1.96B,4.80%,78.50%,11.62M,1.40,1.50%,0.50
MOS,15.10,16.21B,N/A,N/A,1.77,1.60,7.32,12.01%,16.51%,5.32%,10.52%,9.21B,24.82,7.70%,1.93B,2.32B,2.94,35.50%,2.52B,6.90,3.83B,37.49,3.24,27.92,2.32B,387.51M,0.85,-4.52%,53.83,40.32,44.81,46.68,"3,930,920","4,045,800",365.12M,6.52%,75.30%,6.73M,1.60,2.60%,1.02
MSI,12.16,13.54B,16.59,9.70,2.29,6.45,10.66,21.21%,17.16%,5.99%,-23.73%,5.88B,24.91,-0.40%,2.83B,1.18B,5.28,-41.70%,3.35B,15.90,3.40B,162.18,2.98,9.89,-485.00M,677.38M,0.64,3.99%,70.26,56.40,59.06,62.11,"1,170,280","1,669,940",210.94M,0.43%,90.40%,3.88M,3.10,2.30%,1.36
MUR,7.86,5.75B,N/A,-2.01,1.23,0.72,2.58,15.47%,13.59%,2.47%,10.41%,4.76B,26.73,-41.50%,4.20B,2.79B,4.11,N/A,1.37B,7.69,2.61B,31.86,1.19,46.10,2.91B,-714.23M,1.38,-47.16%,62.53,30.92,37.89,44.86,"2,213,040","3,246,200",177.97M,5.82%,85.80%,13.45M,7.30,4.20%,1.40
MYL,26.42,27.61B,12.01,1.10,3.45,2.99,19.17,11.05%,19.56%,5.14%,14.21%,7.88B,20.45,9.10%,3.53B,2.12B,2.13,-51.20%,323.40M,0.66,8.63B,94.93,1.40,18.54,1.01B,-2.13B,1.02,24.23%,76.69,44.80,65.57,64.69,"6,378,690","10,035,200",490.03M,0.64%,93.00%,29.48M,5.90,N/A,N/A
NDAQ,26.07,8.96B,14.58,1.98,2.62,1.56,10.20,10.35%,26.10%,4.40%,5.87%,3.40B,20.18,-6.70%,1.95B,1.02B,2.03,31.70%,588.00M,3.49,2.28B,39.91,1.10,33.88,N/A,N/A,1.07,26.11%,53.50,38.43,50.62,50.02,"911,519","1,247,080",169.19M,18.65%,79.70%,3.33M,3.60,1.90%,0.70
NOV,7.59,15.41B,17.27,-1.31,0.74,0.84,4.13,10.40%,16.32%,6.42%,10.59%,21.37B,50.55,-1.40%,5.81B,4.26B,5.23,-47.40%,3.02B,7.80,4.24B,22.20,2.30,48.19,2.24B,2.97B,1.34,-51.53%,86.55,39.60,44.62,50.36,"5,024,090","6,268,800",387.87M,0.23%,88.00%,28.19M,5.20,4.40%,1.84
NAVI,5.78,5.84B,7.40,1.73,2.28,1.46,N/A,43.50%,65.42%,0.78%,27.61%,2.52B,6.33,N/A,N/A,N/A,2.70,N/A,2.26B,6.04,133.34B,"3,390.24",45.60,10.51,N/A,N/A,1.33,-8.71%,22.71,15.20,17.21,19.38,"2,408,040","2,564,250",373.82M,0.34%,37.80%,10.16M,3.80,3.90%,0.62
NTAP,17.44,9.31B,11.83,1.33,1.53,2.75,6.44,9.15%,11.70%,4.81%,15.55%,6.12B,19.41,-6.60%,3.83B,876.50M,1.75,-31.50%,5.33B,17.46,1.49B,43.57,2.50,11.15,1.27B,850.66M,0.77,-22.38%,43.75,30.25,31.47,35.11,"4,386,330","2,571,390",304.98M,0.73%,90.90%,14.29M,3.70,2.30%,0.68
NFLX,276.95,52.62B,411.73,24.63,8.81,26.51,113.43,3.15%,5.69%,2.72%,10.58%,6.11B,14.45,22.70%,1.75B,407.16M,0.45,-62.90%,2.80B,6.57,2.40B,118.11,1.74,4.77,-384.62M,3.28B,0.85,91.49%,129.29,45.08,104.55,81.11,"18,715,800","18,255,200",426.00M,1.92%,88.20%,26.76M,1.20,N/A,N/A
NWL,31.36,11.62B,17.87,2.03,2.01,6.85,14.60,6.56%,13.62%,7.81%,20.05%,5.78B,21.12,4.10%,2.20B,944.70M,1.38,2.30%,215.40M,0.80,2.84B,167.14,1.19,6.31,571.90M,412.91M,0.89,29.07%,44.22,31.14,41.92,39.99,"1,516,280","1,607,860",268.70M,0.53%,91.20%,7.30M,4.60,1.80%,0.72
NFX,35.04,5.51B,27.83,-183.74,2.71,1.32,3.72,6.58%,56.58%,7.97%,3.82%,2.07B,14.84,-38.90%,1.79B,2.05B,0.98,N/A,783.00M,4.87,3.15B,74.23,1.87,26.36,1.23B,-896.62M,1.26,-15.17%,44.87,22.31,34.65,34.59,"3,132,810","5,083,120",160.90M,0.64%,95.40%,9.58M,3.40,N/A,N/A
NEM,16.74,8.54B,14.28,1.01,1.08,0.73,3.97,6.32%,25.53%,4.79%,3.78%,7.64B,15.26,8.10%,2.84B,3.03B,0.96,-60.00%,3.34B,6.62,6.38B,44.74,2.78,22.32,1.95B,1.29B,0.16,-39.16%,27.90,16.08,20.58,23.60,"7,904,150","9,471,920",528.85M,0.18%,74.50%,9.16M,1.60,0.60%,0.10
NWSA,33.84,8.19B,27.13,3.10,0.94,0.66,10.18,2.81%,2.90%,0.98%,2.44%,8.68B,14.96,-0.80%,N/A,652.00M,0.42,-52.10%,2.03B,3.48,0.00,N/A,1.80,21.22,753.00M,241.50M,1.86,-18.63%,17.80,13.73,14.62,15.58,"2,999,130","2,768,080",381.14M,0.77%,96.50%,10.50M,3.10,0.50%,N/A
NEE,17.64,47.52B,17.46,2.89,2.69,2.32,9.58,15.39%,27.45%,4.12%,13.92%,17.45B,39.97,11.70%,8.27B,7.77B,6.07,51.20%,469.00M,1.06,29.47B,143.99,0.67,45.56,5.66B,-2.00B,0.41,12.76%,112.64,90.33,102.33,103.25,"2,098,740","2,579,950",444.12M,0.35%,73.30%,9.78M,5.20,3.00%,2.99
NLSN,45.45,18.11B,15.69,1.53,2.75,3.61,15.52,6.22%,18.76%,4.76%,7.31%,6.26B,16.58,-2.10%,3.67B,1.53B,1.02,8.60%,343.00M,0.93,7.36B,151.91,1.44,12.89,1.08B,547.75M,1.06,-2.00%,49.37,40.56,45.93,45.05,"2,307,210","3,366,520",389.89M,20.00%,71.80%,10.13M,4.50,2.50%,1.03
NKE,30.95,97.95B,24.21,2.22,3.22,7.76,19.07,10.70%,13.64%,12.98%,27.82%,30.60B,35.51,4.80%,14.07B,4.82B,3.70,23.90%,6.00B,7.02,1.34B,10.53,2.52,14.83,4.68B,2.33B,0.69,48.60%,117.72,76.49,111.52,102.09,"2,968,100","2,910,320",677.89M,0.18%,84.40%,7.08M,2.10,1.00%,1.08
NI,10.11,5.37B,15.95,-5.85,0.85,0.82,8.00,8.45%,18.82%,3.09%,8.01%,6.30B,19.95,-7.40%,4.25B,1.76B,1.67,0.80%,42.00M,0.13,8.73B,116.93,0.82,20.56,1.53B,-851.70M,0.54,14.95%,19.32,14.65,17.34,17.36,"6,038,700","4,510,480",317.38M,0.46%,79.60%,5.59M,1.10,3.60%,0.46
NBL,12.36,13.90B,68.13,-21.63,2.89,1.10,4.85,22.83%,32.20%,4.02%,9.58%,4.34B,11.95,-44.20%,4.14B,3.62B,2.65,N/A,1.71B,4.62,6.18B,54.40,1.59,30.70,3.12B,-1.96B,0.91,-53.13%,72.16,32.39,38.73,45.35,"5,193,000","5,524,540",425.07M,1.82%,93.20%,19.06M,4.30,2.00%,0.72
JWN,20.48,14.27B,18.18,2.74,1.03,5.57,9.44,5.13%,9.31%,8.82%,30.84%,13.79B,72.50,9.70%,5.10B,1.81B,3.66,-8.60%,769.00M,4.04,3.15B,123.13,1.84,13.38,1.21B,245.38M,0.94,8.31%,83.16,64.92,76.59,77.42,"1,224,550","1,267,360",190.53M,26.23%,57.70%,6.77M,6.20,1.90%,1.40
NSC,13.05,24.73B,13.32,1.79,2.16,2.05,7.60,16.88%,30.47%,6.69%,16.28%,11.50B,37.26,-4.50%,7.42B,4.47B,6.22,-15.80%,524.00M,1.72,9.21B,75.75,1.01,39.88,2.87B,465.38M,1.15,-21.13%,117.64,80.88,86.24,98.74,"2,081,510","2,951,520",304.85M,0.39%,67.50%,6.45M,3.30,2.80%,2.93
NTRS,20.12,18.08B,17.18,1.54,3.90,2.15,N/A,20.57%,31.34%,0.84%,11.30%,4.61B,19.69,17.00%,N/A,N/A,3.86,48.00%,23.82B,102.31,6.84B,N/A,N/A,35.91,N/A,N/A,0.63,17.22%,79.25,60.78,77.09,73.11,"1,101,850","869,812",232.85M,0.35%,82.90%,3.54M,3.00,1.90%,1.35
NOC,18.14,33.46B,15.87,2.74,1.39,5.00,9.97,8.20%,13.00%,7.70%,22.80%,24.09B,117.99,1.90%,5.60B,3.58B,9.52,-16.40%,2.65B,13.65,6.42B,95.11,1.35,34.58,2.34B,1.98B,0.53,39.81%,176.50,118.24,166.17,162.18,"1,094,050","1,509,920",193.78M,0.54%,88.40%,2.91M,2.70,1.90%,2.90
NRG,612.50,6.54B,57.65,1.27,0.40,0.68,8.76,0.43%,8.22%,2.21%,0.56%,16.21B,48.10,9.80%,4.09B,3.03B,0.03,N/A,2.16B,6.49,20.71B,177.20,1.80,28.46,1.38B,629.38M,0.97,-33.17%,33.92,19.19,22.33,24.34,"4,210,900","6,721,050",333.50M,0.45%,102.10%,17.67M,4.40,2.70%,0.57
NUE,22.37,14.41B,15.41,1.71,0.75,1.91,8.24,3.33%,6.56%,5.25%,9.58%,19.46B,60.78,-17.60%,1.91B,1.99B,2.02,-15.20%,1.69B,5.27,4.41B,55.32,3.64,23.90,2.09B,1.59B,1.29,-11.44%,58.76,41.46,44.51,46.77,"1,970,030","2,357,090",319.14M,0.60%,79.00%,7.94M,4.40,3.50%,1.49
NVDA,20.52,12.36B,19.31,4.61,2.33,2.41,6.93,13.27%,16.92%,7.06%,14.39%,4.73B,8.60,4.40%,2.60B,1.02B,1.12,-2.20%,4.79B,8.91,1.40B,30.82,6.61,8.47,1.00B,632.12M,1.56,21.59%,23.61,16.77,20.26,21.35,"8,299,340","11,230,300",538.00M,5.20%,83.00%,49.66M,6.20,2.00%,0.35
ORLY,31.37,24.69B,24.25,1.78,3.30,11.40,16.47,11.06%,18.05%,12.61%,37.95%,7.39B,71.67,10.10%,3.71B,1.54B,7.79,22.40%,473.65M,4.69,1.40B,65.16,1.11,21.15,1.25B,794.59M,0.77,59.67%,247.00,146.22,236.48,219.24,"521,938","654,788",100.99M,2.92%,89.60%,5.40M,10.40,N/A,N/A
OXY,N/A,52.83B,29.77,-12.40,3.06,1.56,6.67,-5.69%,-14.58%,-2.59%,-3.82%,17.43B,22.48,-37.80%,12.51B,8.58B,-1.28,N/A,2.15B,2.80,6.84B,20.02,1.51,44.48,8.93B,-2.71B,1.05,-28.17%,100.27,67.30,73.02,76.68,"4,318,150","4,464,040",768.12M,1.45%,81.10%,10.43M,2.60,4.40%,2.88
OMC,16.71,17.60B,15.32,2.89,1.15,6.63,9.22,7.20%,12.73%,5.77%,32.91%,15.22B,61.42,-1.70%,15.32B,2.24B,4.34,-3.50%,1.40B,5.75,4.57B,139.92,0.84,10.90,1.61B,1.17B,1.46,1.56%,80.98,64.03,71.97,75.34,"1,490,970","1,368,210",242.95M,0.86%,99.40%,17.44M,11.00,2.80%,2.00
OKE,25.73,7.16B,20.80,4.09,0.68,13.90,12.17,2.60%,9.59%,4.45%,15.95%,10.84B,51.71,-42.90%,2.11B,1.35B,1.33,-35.00%,239.41M,1.15,8.84B,226.95,0.52,2.54,834.26M,-1.26B,1.40,-45.54%,71.19,33.72,38.79,43.83,"2,306,600","3,048,190",208.76M,0.83%,74.10%,7.41M,3.70,6.40%,2.41
ORCL,17.90,171.54B,13.41,2.03,4.46,3.51,9.75,26.00%,37.38%,8.88%,20.59%,38.23B,8.68,-5.40%,30.69B,16.06B,2.21,-24.40%,54.37B,12.54,41.96B,85.46,4.13,11.21,14.34B,11.52B,1.15,-0.90%,46.71,35.82,40.16,42.69,"14,362,400","11,943,800",4.34B,25.05%,61.60%,27.95M,1.40,1.50%,0.54
OI,77.12,3.37B,8.29,2.61,0.52,3.77,6.62,0.69%,9.61%,4.99%,6.74%,6.57B,40.02,-13.30%,1.25B,1.02B,0.27,-29.70%,257.00M,1.59,3.62B,352.24,1.04,5.61,600.00M,503.00M,2.01,-31.18%,31.85,20.34,22.15,23.84,"1,970,480","1,867,960",161.25M,6.01%,91.60%,7.09M,4.40,N/A,N/A
PCAR,15.32,22.33B,13.11,1.00,1.15,3.34,10.96,7.52%,11.10%,6.60%,21.53%,19.45B,54.78,10.30%,3.05B,2.61B,4.11,38.20%,2.71B,7.65,8.25B,122.56,4.87,18.98,2.31B,508.51M,1.29,1.70%,71.15,55.34,64.45,64.17,"1,699,010","2,216,410",354.80M,2.39%,61.80%,16.95M,10.90,1.50%,1.88
