,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
IR,18.04,15.95B,14.18,1.63,1.22,2.77,12.29,6.92%,10.98%,5.24%,14.79%,13.06B,48.85,6.10%,3.91B,1.73B,3.34,-35.10%,733.90M,2.77,4.54B,78.53,1.28,21.63,970.00M,682.36M,1.02,-0.17%,70.93,52.47,65.73,67.25,"2,066,210","3,269,380",264.72M,0.42%,83.70%,6.59M,4.00,1.80%,1.08
INTC,12.24,137.01B,12.45,1.62,2.50,2.39,5.65,21.13%,27.03%,10.24%,19.97%,55.25B,11.54,-4.60%,35.61B,23.50B,2.36,-3.20%,13.87B,2.91,13.23B,22.94,1.97,12.12,N/A,N/A,0.99,-12.54%,37.90,27.62,29.75,32.04,"31,683,000","26,166,800",4.74B,0.07%,66.60%,140.29M,4.20,3.40%,0.95
ICE,26.13,26.51B,17.14,1.15,8.67,2.16,14.77,32.91%,52.34%,1.56%,8.29%,3.14B,27.77,6.60%,4.12B,1.94B,9.08,20.70%,1.82B,15.86,4.19B,33.56,0.99,109.79,1.46B,1.47B,1.27,25.30%,242.96,184.27,228.95,229.96,"600,048","491,412",111.75M,1.57%,89.70%,1.07M,1.60,1.30%,2.70
IBM,13.65,153.10B,9.62,1.52,1.76,11.20,8.28,12.98%,21.22%,9.73%,95.13%,86.91B,87.95,N/A,46.41B,22.53B,11.37,N/A,8.76B,8.94,38.67B,279.45,1.27,13.96,17.46B,14.09B,0.88,-17.26%,195.00,149.52,163.94,163.92,"3,683,520","3,635,760",987.00M,0.06%,59.30%,26.11M,7.00,3.30%,4.80
IP,21.23,20.10B,11.54,0.89,0.85,4.10,7.61,4.11%,10.78%,5.38%,14.74%,23.41B,55.20,-3.60%,7.36B,3.90B,2.24,N/A,1.58B,3.74,11.18B,223.41,1.60,11.52,3.24B,2.22B,1.10,-1.14%,57.90,44.50,48.00,52.48,"2,964,970","3,143,550",422.87M,0.66%,86.30%,10.52M,3.10,3.40%,1.55
IPG,16.87,8.58B,15.71,2.04,1.12,4.29,10.10,6.82%,10.89%,4.34%,23.08%,7.60B,18.37,1.30%,7.54B,988.50M,1.24,21.90%,855.60M,2.09,1.78B,79.48,1.03,4.83,690.10M,530.84M,1.65,7.18%,22.69,16.37,20.15,20.93,"3,401,990","3,603,820",410.40M,1.82%,97.30%,9.51M,2.70,2.30%,0.43
IFF,21.82,9.41B,20.19,2.93,3.05,6.01,14.04,14.10%,19.55%,11.07%,28.20%,3.09B,38.27,0.60%,1.36B,675.84M,5.33,20.20%,446.36M,5.51,943.55M,60.02,3.60,19.37,514.87M,309.19M,1.06,17.95%,123.08,91.64,112.56,114.90,"452,092","366,862",80.89M,1.53%,81.00%,1.49M,3.70,1.70%,1.88
INTU,94.48,29.07B,27.82,3.36,6.54,12.37,25.72,7.34%,20.51%,10.32%,11.59%,4.39B,15.52,-8.10%,3.86B,1.08B,1.12,-49.10%,2.08B,7.56,499.00M,21.50,1.35,8.42,1.64B,1.21B,0.94,28.90%,109.21,77.96,104.77,99.77,"1,345,060","966,950",275.67M,4.91%,91.40%,7.25M,4.90,0.90%,1.00
ISRG,39.70,19.73B,26.89,2.35,8.59,5.11,24.87,22.24%,29.62%,10.77%,15.18%,2.26B,61.84,14.40%,1.41B,750.10M,13.43,29.30%,1.56B,42.18,0.00,N/A,4.56,102.50,653.60M,487.98M,-0.06,20.14%,564.86,438.50,507.94,506.10,"285,867","214,150",37.02M,13.09%,92.50%,1.20M,4.90,N/A,N/A
IVZ,15.67,16.46B,12.41,1.18,3.22,2.06,14.71,20.50%,26.47%,4.04%,11.97%,5.17B,11.90,1.70%,5.15B,1.46B,2.44,38.20%,1.79B,4.14,7.08B,78.32,5.58,18.75,1.36B,-88.51M,1.59,-0.42%,42.05,34.40,38.02,39.40,"2,818,080","3,074,640",430.71M,1.22%,88.60%,3.02M,1.00,2.90%,1.02
